<CLOSE>
1.08408
1.08411
1.08414
1.08422
1.08423
1.08420
1.08418
1.08406
1.08407
1.08408
1.08417
1.08423
1.08423
1.08432
1.08439
1.08439
1.08436
1.08432
1.08425
1.08425
1.08421
1.08414
1.08420
1.08430
1.08435
1.08440
1.08440
1.08431
1.08450
1.08437
1.08445
1.08451
1.08439
1.08444
1.08424
1.08423
1.08420
1.08405
1.08387
1.08402
1.08399
1.08389
1.08385
1.08383
1.08384
1.08373
1.08377
1.08455
1.08476
1.08498
1.08509
1.08519
1.08498
1.08463
1.08460
1.08462
1.08452
1.08450
1.08464
1.08471
1.08485
1.08502
1.08501
1.08500
1.08497
1.08511
1.08510
1.08453
1.08433
1.08434
1.08441
1.08444
1.08440
1.08414
1.08419
1.08419
1.08415
1.08420
1.08410
1.08415
1.08417
1.08426
1.08418
1.08424
1.08402
1.08400
1.08391
1.08390
1.08406
1.08430
1.08432
1.08432
1.08425
1.08441
1.08467
1.08465
1.08462
1.08460
1.08469
1.08469
1.08465
1.08479
1.08470
1.08469
1.08449
1.08469
1.08450
1.08417
1.08420
1.08418
1.08381
1.08309
1.08301
1.08340
1.08356
1.08361
1.08395
1.08420
1.08495
1.08485
1.08484
1.08475
1.08480
1.08516
1.08535
1.08565
1.08581
1.08575
1.08568
1.08564
1.08560
1.08524
1.08550
1.08536
1.08518
1.08500
1.08499
1.08521
1.08519
1.08499
1.08486
1.08484
1.08485
1.08505
1.08495
1.08486
1.08520
1.08538
1.08545
1.08534
1.08538
1.08509
1.08510
1.08525
1.08489
1.08459
1.08484
1.08488
1.08469
1.08450
1.08449
1.08458
1.08450
1.08470
1.08479
1.08460
1.08458
1.08440
1.08438
1.08440
1.08454
1.08478
1.08488
1.08447
1.08413
1.08415
1.08387
1.08380
1.08333
1.08364
1.08439
1.08433
1.08470
1.08467
1.08435
1.08801
1.08735
1.08561
1.08747
1.08642
1.08640
1.08570
1.08631
1.08670
1.08670
1.08643
1.08747
1.08797
1.08654
1.08616
1.08510
1.08448
1.08533
1.08398
1.08383
1.08394
1.08319
1.08220
1.08157
1.08137
1.08110
1.08143
1.08090
1.08064
1.08083
1.08060
1.08046
1.07963
1.07929
1.07938
1.07929
1.07909
1.07893
1.07894
1.07887
1.07900
1.07866
1.07827
1.07847
1.07831
1.07835
1.07850
1.07842
1.07832
1.07807
1.07812
1.07819
1.07845
1.07840
1.07840
1.07861
1.07858
1.07856
1.07873
1.07877
1.07880
1.07885
