Date;Open;High;Low;Close;Tick Volume;Volume;Spread
2023.09.18 00:05;1.06585;1.06616;1.06585;1.06613;9;0;29
2023.09.18 00:06;1.06613;1.06614;1.06587;1.06587;3;0;29
2023.09.18 00:07;1.06587;1.06617;1.06587;1.06614;8;0;29
2023.09.18 00:08;1.06587;1.06623;1.06587;1.06622;7;0;29
2023.09.18 00:09;1.06622;1.06625;1.06622;1.06625;4;0;29
2023.09.18 00:10;1.06625;1.06625;1.06625;1.06625;1;0;29
2023.09.18 00:11;1.06625;1.06625;1.06623;1.06623;3;0;29
2023.09.18 00:12;1.06623;1.06623;1.06621;1.06623;5;0;29
2023.09.18 00:13;1.06623;1.06626;1.06620;1.06620;4;0;29
2023.09.18 00:14;1.06620;1.06620;1.06617;1.06618;4;0;29
2023.09.18 00:15;1.06618;1.06623;1.06617;1.06618;9;0;29
2023.09.18 00:16;1.06618;1.06620;1.06618;1.06618;5;0;29
2023.09.18 00:17;1.06618;1.06620;1.06618;1.06618;6;0;29
2023.09.18 00:18;1.06618;1.06618;1.06617;1.06617;2;0;29
2023.09.18 00:19;1.06617;1.06617;1.06617;1.06617;1;0;29
2023.09.18 00:20;1.06617;1.06618;1.06617;1.06618;2;0;29
2023.09.18 00:21;1.06618;1.06619;1.06617;1.06617;3;0;29
2023.09.18 00:22;1.06617;1.06620;1.06617;1.06620;2;0;29
2023.09.18 00:23;1.06620;1.06620;1.06617;1.06617;4;0;29
2023.09.18 00:24;1.06617;1.06617;1.06617;1.06617;1;0;29
2023.09.18 00:25;1.06617;1.06620;1.06617;1.06617;3;0;29
2023.09.18 00:26;1.06617;1.06623;1.06617;1.06623;2;0;29
2023.09.18 00:27;1.06623;1.06623;1.06620;1.06623;3;0;29
2023.09.18 00:28;1.06623;1.06626;1.06623;1.06625;4;0;29
2023.09.18 00:29;1.06625;1.06625;1.06618;1.06618;4;0;29
2023.09.18 00:30;1.06618;1.06622;1.06615;1.06621;7;0;29
2023.09.18 00:31;1.06621;1.06623;1.06621;1.06623;4;0;29
2023.09.18 00:32;1.06623;1.06624;1.06623;1.06624;2;0;29
2023.09.18 00:33;1.06624;1.06625;1.06624;1.06625;2;0;29
2023.09.18 00:34;1.06625;1.06627;1.06625;1.06627;6;0;29
2023.09.18 00:35;1.06627;1.06633;1.06627;1.06633;14;0;29
2023.09.18 00:36;1.06633;1.06634;1.06627;1.06631;43;0;29
2023.09.18 00:37;1.06631;1.06634;1.06627;1.06632;30;0;29
2023.09.18 00:38;1.06632;1.06632;1.06624;1.06630;5;0;29
2023.09.18 00:39;1.06630;1.06631;1.06625;1.06630;13;0;29
2023.09.18 00:40;1.06630;1.06630;1.06626;1.06630;9;0;29
2023.09.18 00:41;1.06630;1.06630;1.06627;1.06628;9;0;29
2023.09.18 00:42;1.06628;1.06629;1.06628;1.06629;2;0;29
2023.09.18 00:43;1.06630;1.06630;1.06622;1.06625;6;0;29
2023.09.18 00:44;1.06625;1.06625;1.06625;1.06625;1;0;29
2023.09.18 00:45;1.06625;1.06632;1.06625;1.06631;4;0;29
2023.09.18 00:46;1.06625;1.06625;1.06618;1.06618;2;0;29
2023.09.18 00:47;1.06618;1.06636;1.06612;1.06622;17;0;29
2023.09.18 00:48;1.06622;1.06623;1.06622;1.06623;2;0;29
2023.09.18 00:49;1.06623;1.06633;1.06621;1.06633;7;0;29
2023.09.18 00:50;1.06633;1.06634;1.06629;1.06629;11;0;29
2023.09.18 00:51;1.06629;1.06633;1.06629;1.06631;6;0;29
2023.09.18 00:52;1.06631;1.06632;1.06631;1.06632;2;0;29
2023.09.18 00:53;1.06632;1.06633;1.06629;1.06630;7;0;29
2023.09.18 00:54;1.06630;1.06633;1.06629;1.06631;9;0;29
2023.09.18 00:55;1.06631;1.06631;1.06627;1.06628;4;0;29
2023.09.18 00:56;1.06628;1.06629;1.06628;1.06629;2;0;29
2023.09.18 00:57;1.06629;1.06629;1.06629;1.06629;1;0;29
2023.09.18 00:58;1.06629;1.06629;1.06629;1.06629;1;0;29
2023.09.18 00:59;1.06633;1.06638;1.06632;1.06634;7;0;21
2023.09.18 01:00;1.06634;1.06642;1.06630;1.06631;24;0;12
2023.09.18 01:01;1.06631;1.06635;1.06626;1.06634;19;0;13
2023.09.18 01:02;1.06634;1.06634;1.06632;1.06634;3;0;14
2023.09.18 01:03;1.06632;1.06637;1.06632;1.06632;9;0;13
2023.09.18 01:04;1.06633;1.06633;1.06629;1.06629;7;0;14
2023.09.18 01:05;1.06629;1.06635;1.06629;1.06634;9;0;15
2023.09.18 01:06;1.06634;1.06635;1.06631;1.06631;8;0;15
2023.09.18 01:07;1.06631;1.06636;1.06631;1.06634;8;0;15
2023.09.18 01:08;1.06634;1.06635;1.06632;1.06632;8;0;16
2023.09.18 01:09;1.06632;1.06635;1.06632;1.06635;3;0;16
2023.09.18 01:10;1.06635;1.06636;1.06634;1.06634;4;0;16
2023.09.18 01:11;1.06634;1.06636;1.06634;1.06635;10;0;13
2023.09.18 01:12;1.06635;1.06639;1.06634;1.06639;7;0;14
2023.09.18 01:13;1.06639;1.06640;1.06638;1.06640;4;0;15
2023.09.18 01:14;1.06640;1.06646;1.06638;1.06644;16;0;14
2023.09.18 01:15;1.06649;1.06656;1.06648;1.06656;20;0;1
2023.09.18 01:16;1.06656;1.06659;1.06656;1.06659;13;0;2
2023.09.18 01:17;1.06659;1.06659;1.06657;1.06658;14;0;2
2023.09.18 01:18;1.06658;1.06671;1.06658;1.06670;18;0;2
2023.09.18 01:19;1.06670;1.06674;1.06668;1.06671;9;0;2
2023.09.18 01:20;1.06671;1.06674;1.06668;1.06669;18;0;2
2023.09.18 01:21;1.06669;1.06681;1.06668;1.06681;11;0;2
2023.09.18 01:22;1.06681;1.06681;1.06678;1.06681;9;0;2
2023.09.18 01:23;1.06681;1.06688;1.06681;1.06687;14;0;2
2023.09.18 01:24;1.06687;1.06688;1.06685;1.06686;14;0;2
2023.09.18 01:25;1.06686;1.06690;1.06685;1.06690;12;0;2
2023.09.18 01:26;1.06690;1.06690;1.06685;1.06688;11;0;2
2023.09.18 01:27;1.06690;1.06692;1.06690;1.06690;7;0;2
2023.09.18 01:28;1.06690;1.06690;1.06685;1.06685;5;0;2
2023.09.18 01:29;1.06682;1.06682;1.06666;1.06671;7;0;2
2023.09.18 01:30;1.06671;1.06671;1.06656;1.06657;32;0;1
2023.09.18 01:31;1.06657;1.06657;1.06646;1.06647;14;0;1
2023.09.18 01:32;1.06647;1.06658;1.06647;1.06658;6;0;2
2023.09.18 01:33;1.06658;1.06658;1.06657;1.06657;2;0;2
2023.09.18 01:34;1.06657;1.06657;1.06652;1.06652;2;0;2
2023.09.18 01:35;1.06652;1.06652;1.06650;1.06652;3;0;2
2023.09.18 01:36;1.06652;1.06652;1.06652;1.06652;1;0;2
2023.09.18 01:37;1.06652;1.06652;1.06643;1.06644;6;0;2
2023.09.18 01:38;1.06644;1.06644;1.06643;1.06644;3;0;2
2023.09.18 01:39;1.06642;1.06660;1.06642;1.06655;11;0;2
2023.09.18 01:40;1.06655;1.06655;1.06653;1.06653;5;0;2
2023.09.18 01:41;1.06653;1.06655;1.06646;1.06650;6;0;2
2023.09.18 01:42;1.06650;1.06650;1.06648;1.06650;3;0;2
2023.09.18 01:43;1.06650;1.06651;1.06650;1.06651;6;0;2
2023.09.18 01:44;1.06650;1.06652;1.06650;1.06652;3;0;2
2023.09.18 01:45;1.06652;1.06652;1.06642;1.06642;7;0;2
2023.09.18 01:46;1.06642;1.06642;1.06642;1.06642;1;0;2
2023.09.18 01:47;1.06642;1.06642;1.06642;1.06642;1;0;2
2023.09.18 01:48;1.06642;1.06647;1.06642;1.06647;5;0;2
2023.09.18 01:49;1.06647;1.06647;1.06647;1.06647;1;0;2
2023.09.18 01:50;1.06647;1.06651;1.06647;1.06648;4;0;2
2023.09.18 01:51;1.06648;1.06650;1.06643;1.06650;9;0;2
2023.09.18 01:52;1.06650;1.06650;1.06649;1.06649;2;0;2
2023.09.18 01:53;1.06649;1.06652;1.06649;1.06650;6;0;2
2023.09.18 01:54;1.06650;1.06653;1.06650;1.06652;4;0;2
2023.09.18 01:55;1.06652;1.06657;1.06652;1.06657;6;0;2
2023.09.18 01:56;1.06657;1.06657;1.06654;1.06654;6;0;2
2023.09.18 01:57;1.06654;1.06654;1.06651;1.06651;6;0;2
2023.09.18 01:58;1.06651;1.06651;1.06642;1.06642;4;0;2
2023.09.18 01:59;1.06642;1.06642;1.06642;1.06642;1;0;2
2023.09.18 02:00;1.06642;1.06642;1.06638;1.06638;7;0;2
2023.09.18 02:01;1.06638;1.06638;1.06626;1.06627;17;0;2
2023.09.18 02:02;1.06627;1.06627;1.06626;1.06626;10;0;2
2023.09.18 02:03;1.06626;1.06634;1.06626;1.06632;11;0;2
2023.09.18 02:04;1.06632;1.06634;1.06627;1.06630;13;0;2
2023.09.18 02:05;1.06630;1.06632;1.06630;1.06631;4;0;2
2023.09.18 02:06;1.06631;1.06637;1.06631;1.06637;6;0;2
2023.09.18 02:07;1.06637;1.06638;1.06637;1.06637;3;0;2
2023.09.18 02:08;1.06637;1.06640;1.06637;1.06638;6;0;1
2023.09.18 02:09;1.06638;1.06639;1.06637;1.06638;5;0;1
2023.09.18 02:10;1.06638;1.06647;1.06638;1.06643;12;0;2
2023.09.18 02:11;1.06643;1.06643;1.06641;1.06642;4;0;2
2023.09.18 02:12;1.06642;1.06651;1.06642;1.06649;19;0;2
2023.09.18 02:13;1.06649;1.06653;1.06646;1.06648;22;0;2
2023.09.18 02:14;1.06648;1.06648;1.06643;1.06647;10;0;2
2023.09.18 02:15;1.06647;1.06647;1.06645;1.06647;3;0;2
2023.09.18 02:16;1.06647;1.06647;1.06641;1.06642;13;0;2
2023.09.18 02:17;1.06642;1.06643;1.06642;1.06642;3;0;2
2023.09.18 02:18;1.06642;1.06642;1.06642;1.06642;1;0;2
